Nom du monument,Latitude,Longitude,Type de monument,Voisins
Ancienne chartreuse,43.6046958238746,1.43626761464448,Abbaye,"[(153, 0.0671), (18, 0.4803), (129, 0.1154), (140, 0.1544)]"
Cathédrale Saint-Etienne,43.5998879848683,1.45066365002575,Cathédrale,"[(33, 0.124), (100, 0.3306), (6, 0.0404), (110, 0.115), (117, 0.0984)]"
Ancien grand séminaire,43.6075565549718,1.44328585177684,Chapelle,"[(19, 0.0912), (155, 0.215), (157, 0.1391), (149, 0.046)]"
Ancienne chapelle Saint-Roch-du-Férétra,43.5817016150885,1.44398933510593,Chapelle,"[(13, 2.7973), (141, 3.004), (143, 0.7224), (57, 0.4623), (28, 2.2065), (159, 0.2145)]"
"Ancienne chapelle des Pénitents Bleus, actuellement église Saint-Jérôme",43.6032645586296,1.44622016080154,Chapelle,"[(102, 0.1301), (71, 0.0397), (150, 0.1867), (27, 0.0534), (60, 0.2087)]"
Chapelle Notre-Dame-de-Nazareth,43.5961543841387,1.44611209883509,Chapelle,"[(160, 0.1981), (98, 0.0839), (68, 0.1242), (78, 0.1367), (51, 0.1105), (20, 0.0558), (22, 0.2069), (26, 0.1484)]"
Chapelle et cour Sainte-Anne,43.599527736522376,1.4507300340202363,Chapelle,"[(1, 0.0404), (110, 0.1249), (117, 0.0722), (17, 0.1695)]"
Maison de saint Dominique et chapelle des Réparatrices,43.5940421990558,1.44381217521568,Chapelle,"[(32, 0.1721), (133, 0.1372), (10, 0.0926), (44, 0.1989), (118, 0.1429)]"
Ancienne porte du Capitole réédifiée dans le jardin des Plantes de Toulouse,43.592773986230505,1.4525817614149,Château / Fortification,"[(59, 0.4333), (112, 0.1364), (58, 0.4481), (91, 0.5242), (30, 0.3082)]"
Anciens remparts Saint-Cyprien,43.6005378042291,1.43098468073863,Château / Fortification,"[(130, 0.5259), (134, 0.7138), (135, 0.1196), (142, 0.1211), (121, 0.5244), (156, 0.3013)]"
Barbacane du quartier Saint-Michel,43.5932093470574,1.44378891797021,Château / Fortification,"[(118, 0.1636), (132, 0.8438), (44, 0.1288), (7, 0.0926)]"
"Château Saint-Simon, appelé aussi de Candie",43.5436673468297,1.39186742572784,Château / Fortification,"[(56, 5.7261), (125, 7.2292), (141, 3.0451), (15, 3.2503)]"
Château d'eau et station de pompage,43.5986915625314,1.43693014379859,Château / Fortification,"[(130, 0.3079), (105, 0.1149), (156, 0.2258), (29, 0.5131), (126, 0.1918)]"
Château de Bellevue,43.5587516777637,1.45823008373338,Château / Fortification,"[(3, 2.7973), (141, 2.8896), (119, 0.9294), (56, 1.0452), (28, 0.9862)]"
Château de La Cépière,43.5867919167397,1.40061392934597,Château / Fortification,"[(134, 2.7352), (135, 2.8181), (141, 3.4958), (143, 2.9329), (16, 1.0191), (144, 3.123), (122, 2.9764), (125, 2.7258), (127, 3.0447)]"
Château de Reynerie,43.5725156885542,1.3985516641373,Château / Fortification,"[(16, 0.5846), (125, 4.1496), (11, 3.2503), (141, 2.4052)]"
Château du Mirail,43.577774269693,1.39830557763635,Château / Fortification,"[(125, 3.5834), (141, 2.8061), (14, 1.0191), (15, 0.5846)]"
Rempart gallo-romain,43.59806169987044,1.4513090281088534,Château / Fortification,"[(67, 0.0472), (6, 0.1695), (110, 0.2352), (117, 0.159), (58, 0.2011)]"
Rempart médiéval,43.6089344939039,1.4350977822088,Château / Fortification,"[(0, 0.4803), (129, 0.5004), (153, 0.5163), (107, 0.5908), (49, 0.5795), (115, 0.5383), (121, 0.5342), (31, 1.0136), (63, 0.4543)]"
Tour Morand,43.6070936658633,1.44235364735188,Château / Fortification,"[(2, 0.0912), (131, 0.0758), (145, 0.1288), (155, 0.1719), (157, 0.1458)]"
Tour de Guillaume Garreri,43.5966435392669,1.44595334157348,Château / Fortification,"[(98, 0.0305), (5, 0.0558), (79, 0.1684), (26, 0.1626), (93, 0.06)]"
Tour de Serta,43.601661959026,1.44371312155099,Château / Fortification,"[(99, 0.0937), (74, 0.0886), (45, 0.0205), (80, 0.0479), (150, 0.1035)]"
Tour des Hauts-Murats et vestiges de remparts gallo-romains attenants,43.5945339200869,1.44737379332533,Château / Fortification,"[(160, 0.038), (5, 0.2069), (78, 0.2024), (30, 0.1581)]"
